time,latitude,longitude,depth_km,magnitude,event_id_mapped
2021-05-15T07:15:16.310000,55.58716666666667,-161.59633333333332,50.73,1.834,3372
2021-05-15T07:15:26.030000,55.24166666666667,-162.23983333333334,6.94,1.425,3373
2021-05-15T10:36:20.720000,54.912166666666664,-161.4065,16.79,1.655,3374
2021-05-15T10:36:34.920000,54.984,-161.65483333333333,12.63,1.523,3375
2021-05-15T13:02:34.570000,54.58166666666666,-160.655,20.08,1.546,3378
2021-05-15T13:13:25.240000,55.633833333333335,-161.567,13.44,1.888,3380
2021-05-15T13:35:13.120000,55.453,-161.762,33.77,0.999,3382
2021-05-15T14:52:23.320000,54.9895,-162.34433333333334,3.31,0.867,3383
2021-05-15T15:36:52.700000,55.153166666666664,-161.46883333333332,30.57,0.889,3384
2021-05-15T15:47:36.730000,55.48383333333334,-161.76833333333335,31.83,0.984,3385
2021-05-15T20:18:33.180000,55.157833333333336,-161.923,38.78,1.006,3388
2021-05-16T00:53:07.740000,54.98533333333334,-161.5525,26.92,0.934,3393
2021-05-16T01:09:05.960000,55.176,-162.05583333333334,18.11,0.899,3396
2021-05-16T01:33:35.780000,55.16733333333333,-160.74583333333334,27.78,1.523,3397
2021-05-16T02:20:02.990000,55.165,-162.00483333333332,15.7,0.384,3398
2021-05-16T04:52:24.950000,55.398833333333336,-161.376,17.01,0.677,3400
2021-05-16T08:39:48.910000,54.529833333333336,-161.06133333333332,10.17,1.291,3405
2021-05-16T13:25:13.300000,55.281666666666666,-161.49216666666666,25.4,0.242,3406
2021-05-16T13:30:07.200000,54.970666666666666,-162.25016666666667,3.48,0.558,3407
2021-05-16T13:53:43.390000,55.448,-161.84366666666668,30.9,0.818,3408
2021-05-16T14:13:07.700000,55.3845,-161.72133333333332,44.39,0.884,3409
2021-05-16T14:18:29.620000,54.3345,-161.995,10.38,1.413,3410
2021-05-16T14:21:27.210000,55.05466666666667,-161.41383333333334,32.01,1.322,3411
2021-05-16T16:14:45.940000,55.1885,-161.78033333333335,14.19,0.84,3416
2021-05-16T18:18:15.470000,55.0905,-161.43916666666667,16.63,0.998,3422
2021-05-16T20:19:15.650000,55.410833333333336,-161.8095,32.47,0.987,3425
2021-05-16T21:36:36.740000,54.830333333333336,-160.88316666666665,31.73,2.432,3427
2021-05-16T21:59:23.250000,55.34283333333333,-161.24616666666665,20.6,0.683,3428
2021-05-16T22:14:27.870000,55.09766666666667,-161.99883333333332,47.17,1.17,3429
2021-05-17T00:38:22.050000,55.26866666666667,-161.49866666666668,54.81,1.109,3433
2021-05-17T00:47:31.340000,55.248,-162.14416666666668,58.85,1.011,3434
2021-05-17T04:38:16.010000,54.9545,-162.93916666666667,0.61,1.414,3438
2021-05-17T05:41:47.170000,55.38633333333333,-161.69983333333334,23.14,0.992,3440
2021-05-17T06:02:33.070000,55.0025,-161.44066666666666,29.79,1.543,3442
2021-05-17T08:16:27.680000,55.5015,-161.9655,48.44,1.105,3443
2021-05-17T09:36:42.670000,55.349,-162.05966666666666,9.37,0.076,3446
2021-05-17T10:19:10.370000,54.7135,-161.81916666666666,0.09,2.313,3447
2021-05-17T12:51:41.890000,54.844,-160.34283333333335,6.99,1.31,3450
2021-05-17T16:53:21.180000,54.66983333333334,-162.57133333333334,67.18,1.133,3461
2021-05-17T17:15:06.340000,55.07983333333333,-161.89283333333333,5.5,0.298,3465
2021-05-17T20:27:53.470000,55.14633333333333,-162.1915,9.83,0.696,3470
2021-05-18T02:09:28.260000,55.36333333333334,-161.77633333333333,23.3,0.88,3475
2021-05-18T02:18:46.920000,54.4105,-161.492,20.44,1.873,3477
2021-05-18T02:51:03.530000,54.711166666666664,-161.81683333333334,26.34,0.979,3478
2021-05-18T03:55:02.690000,55.254333333333335,-160.8245,42.24,1.675,3479
2021-05-18T03:59:33.580000,54.993833333333335,-161.52866666666668,31.19,1.282,3481
2021-05-18T04:31:47.580000,55.277,-162.16833333333332,16.28,0.323,3482
2021-05-18T04:49:36.490000,55.3245,-161.72933333333333,16.58,0.712,3483
2021-05-18T05:27:30.450000,55.2465,-161.78716666666668,16.51,0.034,3485
2021-05-18T07:19:28.310000,55.3805,-161.777,21.72,0.462,3487
2021-05-18T08:49:20.920000,55.7745,-161.675,14.39,1.018,3489
2021-05-18T10:48:58.890000,55.307,-161.41083333333333,18.69,0.385,3497
2021-05-18T11:07:27.860000,55.363,-161.9235,25.41,0.449,3498
2021-01-12T07:15:05.890000,55.123333333333335,-161.2535,32.03,2.331,350
2021-05-18T11:21:53.870000,55.14966666666667,-161.629,38.05,0.525,3501
2021-05-18T13:38:44.810000,55.732,-161.39283333333333,1.95,0.918,3503
2021-05-18T14:04:40.010000,55.3045,-161.837,18.94,0.72,3504
2021-05-18T14:11:35.590000,55.4825,-161.913,36.84,0.8,3505
2021-05-18T15:45:01.890000,55.4465,-161.8795,29.27,0.604,3506
2021-05-18T15:49:03.250000,55.42766666666667,-161.84933333333333,29.7,0.374,3507
2021-05-18T15:59:11.160000,55.347,-161.82716666666667,17.21,0.74,3508
2021-05-18T17:28:18.980000,55.71383333333333,-161.92416666666668,4.0,0.565,3509
2021-05-18T17:33:46.000000,55.07033333333333,-160.95633333333333,13.88,1.504,3510
2021-05-18T18:08:15.740000,55.424,-161.255,25.51,0.537,3511
2021-05-19T00:58:10.000000,54.770833333333336,-161.51116666666667,81.07,1.809,3518
2021-05-19T04:20:07.470000,54.921,-162.71033333333332,15.2,1.643,3521
2021-05-19T11:27:32.130000,54.681666666666665,-160.72783333333334,7.51,2.433,3524
2021-05-19T13:17:28.240000,55.19683333333333,-161.924,13.63,1.009,3526
2021-05-19T19:05:54.640000,55.312,-161.61733333333333,6.06,0.235,3529
2021-05-20T04:12:16.580000,55.303666666666665,-161.65033333333332,18.23,1.753,3532
2021-05-20T04:12:47.660000,55.40533333333333,-161.85083333333333,4.5,-0.004,3533
2021-05-20T05:19:20.220000,54.673,-162.48,14.82,1.338,3534
2021-05-20T08:39:31.430000,55.210166666666666,-163.48,7.28,2.251,3536
2021-05-20T16:56:12.880000,54.5675,-162.083,15.22,1.475,3544
2021-05-20T19:41:11.390000,55.30533333333333,-161.895,17.8,0.425,3547
2021-01-12T11:37:23.670000,54.84866666666667,-161.81583333333333,13.49,1.479,355
2021-05-20T20:53:40.430000,55.18966666666667,-161.82083333333333,6.47,1.955,3550
2021-05-20T22:38:31.770000,55.25216666666667,-162.003,22.06,0.6,3552
2021-05-20T23:05:59.910000,54.575,-161.29433333333333,14.56,1.602,3553
2021-05-21T01:07:07.610000,55.157,-162.88383333333334,16.18,1.986,3558
2021-01-12T11:37:36.830000,54.864666666666665,-161.7775,0.92,1.874,356
2021-05-21T03:21:13.460000,54.83083333333333,-161.77733333333333,0.52,1.015,3560
2021-05-21T03:21:17.160000,54.72683333333333,-161.73133333333334,16.0,1.309,3561
2021-05-21T04:48:44.590000,55.37383333333333,-162.01633333333334,24.98,0.506,3562
2021-05-21T14:50:55.870000,54.57,-161.2695,13.36,2.356,3566
2021-05-21T19:31:35.400000,55.06366666666667,-160.91966666666667,14.17,1.503,3572
2021-05-21T21:43:09.970000,55.31733333333333,-160.51516666666666,70.95,1.98,3573
2021-05-22T03:41:15.140000,54.72833333333333,-162.54533333333333,79.92,1.805,3575
2021-05-22T05:03:48.750000,55.3175,-161.67883333333333,7.37,0.369,3576
2021-05-22T06:12:10.670000,55.902166666666666,-163.04716666666667,8.7,1.846,3577
2021-01-12T12:44:20.610000,54.577333333333335,-161.26883333333333,24.25,2.797,358
2021-05-22T12:36:27.900000,55.20466666666667,-161.58316666666667,22.22,0.877,3581
2021-05-22T15:51:26.830000,54.641666666666666,-160.72766666666666,12.14,1.512,3582
2021-05-22T17:06:17.610000,55.159166666666664,-161.18716666666666,21.76,1.387,3585
2021-05-22T22:37:09.980000,55.033,-161.52633333333333,21.64,1.146,3594
2021-05-23T04:28:56.450000,54.42516666666667,-161.24216666666666,12.86,1.75,3603
2021-05-23T05:15:38.400000,54.73733333333333,-161.54483333333334,0.06,1.557,3606
2021-05-23T05:39:52.590000,54.78966666666667,-161.26716666666667,13.0,2.747,3607
2021-05-23T07:38:42.560000,54.5715,-161.2325,13.6,1.536,3611
2021-05-23T08:01:53.250000,55.146166666666666,-161.68816666666666,5.91,1.043,3613
2021-05-23T12:28:44.560000,54.470333333333336,-161.72366666666667,9.79,1.662,3615
2021-05-23T16:37:52.300000,55.23166666666667,-162.0265,20.57,0.835,3620
2021-05-23T18:05:45.930000,55.0625,-160.942,14.37,1.533,3623
2021-05-23T22:32:31.280000,55.07516666666667,-162.063,1.95,0.82,3624
2021-05-23T22:32:50.860000,55.07033333333333,-161.764,9.32,0.881,3625
2021-05-23T23:35:36.610000,55.417,-161.645,59.43,1.469,3626
2021-05-24T14:33:50.470000,54.91983333333334,-160.84783333333334,11.31,1.732,3634
2021-05-24T21:19:55.540000,54.72,-160.5575,7.46,2.205,3635
2021-05-25T06:58:05.810000,54.85366666666667,-162.60866666666666,15.46,1.757,3636
2021-05-25T14:27:25.980000,55.44316666666667,-161.32216666666667,30.81,1.051,3639
2021-05-25T22:51:39.800000,55.1455,-161.90233333333333,6.32,0.152,3641
2021-05-25T23:51:59.370000,55.10483333333333,-161.56483333333333,4.13,0.986,3643
