id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.PV6A..SH,2021-01-01T20:53:14.820000,S,0.888,2.486144467184204e-06,12,6.179578800810964e-05,20210101T160000_12,25
AV.PVV..SH,2021-01-01T16:55:12.660000,P,0.926,1.779722538230999e-06,1,0.0010062991650482,20210101T160000_1,14
AV.PVV..SH,2021-01-01T17:17:05.440000,P,0.981,1.3256986903797952e-06,3,0.0177574370056802,20210101T160000_3,16
AV.PVV..SH,2021-01-01T19:49:51.560000,P,0.889,4.6890662019904994e-07,5,0.0232514700124572,20210101T160000_5,18
AV.PVV..SH,2021-01-01T20:09:14.060000,P,0.955,2.5234893996639585e-07,7,0.0048383976053614,20210101T160000_7,20
AV.PVV..SH,2021-01-01T20:32:21.240000,P,0.677,2.501040796687448e-07,8,0.0038475005938245,20210101T160000_8,21
AV.PVV..SH,2021-01-01T20:47:52.380000,P,0.957,1.37673862354859e-06,10,0.0232514700124572,20210101T160000_10,23
AV.PVV..SH,2021-01-01T20:52:49.520000,P,0.94,9.874092938844117e-07,11,0.0048383976053614,20210101T160000_11,24
AV.PVV..SH,2021-01-01T21:02:35.920000,P,0.821,3.400630248506787e-07,13,0.0038475005938245,20210101T160000_13,26
AV.PVV..SH,2021-01-01T16:55:17.240000,S,0.395,1.779722538230999e-06,1,0.0030309170944796,20210101T160000_1,14
AV.PVV..SH,2021-01-01T17:17:27.920000,S,0.771,1.3230617241788425e-06,4,6.179578800810964e-05,20210101T160000_4,17
AV.PVV..SH,2021-01-01T19:50:05.600000,S,0.809,1.6137621514644709e-06,6,0.0177574370056802,20210101T160000_6,19
AV.PVV..SH,2021-01-01T20:09:24.520000,S,0.415,2.5234893996639585e-07,7,6.179578800810964e-05,20210101T160000_7,20
AV.PVV..SH,2021-01-01T20:48:06.220000,S,0.75,2.6002776394307148e-06,9,0.0010062991650482,20210101T160000_9,22
AV.PVV..SH,2021-01-01T20:53:10.160000,S,0.76,1.9817323391180253e-06,12,0.0232514700124572,20210101T160000_12,25
AV.S12K..BH,2021-01-01T20:47:58.760000,P,0.453,5.4478518904943485e-06,10,0.0177574370056802,20210101T160000_10,23
AV.DEER..BH,2021-01-02T00:28:02.500000,P,0.927,9.165946721623186e-06,2,0.009138005150558,20210102T000000_2,27
AV.DEER..BH,2021-01-02T02:46:31.720000,P,0.887,4.706020718003856e-06,4,0.009138005150558,20210102T000000_4,30
AV.DEER..BH,2021-01-02T03:05:49.560000,P,0.427,5.139692348166136e-06,6,0.009138005150558,20210102T000000_6,32
AV.DEER..BH,2021-01-02T00:28:13.380000,S,0.936,9.165946721623186e-06,1,0.009138005150558,20210102T000000_1,28
