id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.DT1..BH,2021-07-29T14:02:54.480000,P,0.924,1.2820410120184531e-06,66,0.0004050876116612,20210729T080000_66,66
AV.DT1..BH,2021-07-29T14:08:30.670000,P,0.565,9.424264248991676e-07,67,0.0004050876116612,20210729T080000_67,67
AV.DT1..BH,2021-07-29T14:16:46.360000,P,0.676,1.4542105191139854e-06,69,0.0004050876116612,20210729T080000_69,69
AV.DT1..BH,2021-07-29T14:21:02.670000,P,0.938,1.3934605931353872e-06,70,0.0004050876116612,20210729T080000_70,70
AV.DT1..BH,2021-07-29T14:48:13.750000,P,0.354,8.79412198173668e-07,71,0.0005979079998146,20210729T080000_71,71
AV.DT1..BH,2021-07-29T14:50:08.300000,P,0.805,1.6058130540841375e-06,72,0.0004050876116612,20210729T080000_72,72
AV.DT1..BH,2021-07-29T14:53:17.150000,P,0.878,1.2747967730319942e-06,74,0.0001504533844952,20210729T080000_74,74
AV.DT1..BH,2021-07-29T14:57:12.290000,P,0.881,1.0533060503803426e-06,75,0.0005979079998146,20210729T080000_75,75
AV.DT1..BH,2021-07-29T14:58:46.380000,P,0.623,2.3251466245710617e-06,76,0.0001504533844952,20210729T080000_76,76
AV.DT1..BH,2021-07-29T15:11:15.990000,P,0.95,1.855046320997644e-06,77,9.066641910142704e-05,20210729T080000_77,77
AV.DT1..BH,2021-07-29T15:14:02.800000,P,0.89,2.015233576457831e-06,78,0.0004050876116612,20210729T080000_78,78
