time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-01-04T03:22:10.556,1.712,-162.78,55.237,61000.0,0.889,0.445,-0.067,14.298,11,20210104T000000_11
2021-01-04T04:01:09.944,1.787,-161.433,54.904,37953.937,0.354,0.313,-0.005,11.0,13,20210104T000000_13
2021-01-04T04:01:20.717,1.935,-161.452,54.904,49797.684,0.722,0.326,-0.122,10.0,14,20210104T000000_14
2021-01-04T05:47:53.321,1.363,-161.378,54.904,34400.196,0.181,0.497,0.007,7.0,15,20210104T000000_15
2021-01-04T05:48:07.372,1.029,-161.458,54.904,28587.509,0.439,0.36,-0.039,4.0,16,20210104T000000_16
2021-01-04T08:26:30.830,1.345,-161.439,54.904,31799.976,0.235,0.379,0.024,7.0,1,20210104T080000_1
2021-01-04T08:26:43.301,1.497,-161.433,54.904,32706.081,0.19,0.338,-0.008,7.0,2,20210104T080000_2
2021-01-04T09:10:28.990,1.471,-161.873,54.905,60615.49,0.372,0.38,-0.072,12.0,3,20210104T080000_3
2021-01-04T09:35:54.559,1.84,-161.325,54.904,44907.781,0.407,0.271,0.021,10.0,4,20210104T080000_4
2021-01-04T09:36:08.843,1.826,-161.278,54.903,12990.059,0.693,0.332,-0.026,8.0,5,20210104T080000_5
2021-01-04T11:49:50.867,3.365,-161.077,54.902,61000.0,0.944,0.26,0.073,15.023,6,20210104T080000_6
2021-01-04T11:49:58.613,3.547,-161.008,54.912,37363.511,0.256,0.22,-0.008,6.977,7,20210104T080000_7
2021-01-04T11:57:57.351,1.738,-161.506,54.904,61000.0,0.534,0.456,-0.01,8.72,9,20210104T080000_9
2021-01-04T11:57:59.566,1.349,-162.435,55.017,61000.0,0.409,0.419,0.01,4.28,8,20210104T080000_8
2021-01-04T15:16:25.954,0.664,-162.301,55.08,14010.43,0.13,0.126,0.003,4.0,10,20210104T080000_10
2021-01-04T15:39:26.896,1.475,-161.015,54.902,52163.783,0.132,0.514,-0.024,3.935,11,20210104T080000_11
2021-01-04T15:59:09.317,1.905,-161.41,54.904,52153.768,0.387,0.379,-0.057,9.0,12,20210104T080000_12
2021-01-04T15:59:24.674,1.631,-161.527,54.904,36118.555,0.83,0.248,-0.004,6.0,13,20210104T080000_13
2021-01-04T15:59:53.663,0.44,-161.97,55.406,36079.266,0.0,0.093,0.0,4.0,1,20210104T160000_1
2021-01-04T16:25:11.204,1.457,-161.489,54.904,32480.112,0.294,0.358,0.017,8.0,2,20210104T160000_2
2021-01-04T16:25:22.943,1.698,-161.398,54.904,33329.431,0.758,0.34,0.147,7.0,3,20210104T160000_3
2021-01-04T16:51:36.837,1.28,-161.508,54.904,26668.47,0.107,0.362,0.006,6.0,4,20210104T160000_4
2021-01-04T16:51:59.313,1.206,-161.889,55.293,0.0,0.4,0.284,0.048,3.659,5,20210104T160000_5
2021-01-04T17:07:48.396,1.002,-161.218,54.903,2036.856,0.229,0.467,-0.0,4.0,6,20210104T160000_6
2021-01-04T18:28:34.758,1.273,-161.005,55.056,22583.465,0.414,0.509,-0.003,3.992,7,20210104T160000_7
2021-01-04T18:37:14.748,0.421,-162.085,55.228,12120.914,0.0,0.226,-0.0,3.907,8,20210104T160000_8
2021-01-04T18:41:17.457,1.652,-161.618,54.905,61000.0,0.693,0.37,-0.091,14.0,9,20210104T160000_9
2021-01-04T19:00:01.139,0.807,-161.318,55.367,476.974,0.131,0.482,0.035,5.0,10,20210104T160000_10
2021-01-04T19:00:03.384,1.786,-161.045,55.454,61000.0,0.339,0.412,0.02,7.0,11,20210104T160000_11
2021-01-04T19:48:10.027,2.597,-161.675,54.905,61000.0,0.922,0.274,-0.134,21.0,12,20210104T160000_12
2021-01-04T20:44:30.144,2.958,-162.773,54.935,46045.219,0.424,0.245,-0.018,11.0,13,20210104T160000_13
2021-01-04T20:44:38.289,3.346,-162.759,54.902,35208.326,0.404,0.347,-0.049,9.902,14,20210104T160000_14
2021-01-04T21:22:29.701,0.995,-161.377,55.041,23413.823,0.369,0.6,0.103,6.0,15,20210104T160000_15
2021-01-04T21:35:13.783,1.579,-162.773,54.942,34573.516,0.462,0.308,0.101,7.882,16,20210104T160000_16
2021-01-04T21:35:34.350,1.793,-162.773,54.911,22530.086,0.02,0.323,-0.001,4.0,17,20210104T160000_17
2021-01-04T22:45:47.131,0.736,-161.54,55.056,33469.913,0.0,0.129,0.0,4.0,18,20210104T160000_18
2021-01-04T22:57:26.758,1.6,-162.37,55.921,61000.0,0.277,0.555,0.095,3.991,19,20210104T160000_19
2021-01-04T23:35:51.030,1.202,-161.007,54.962,3026.302,0.123,0.224,0.001,4.0,20,20210104T160000_20
2021-01-04T23:36:00.549,1.269,-161.263,54.903,43680.711,0.333,0.35,-0.023,4.0,21,20210104T160000_21
2021-01-05T00:40:05.325,1.784,-161.374,54.904,37793.288,0.178,0.345,-0.004,8.0,1,20210105T000000_1
2021-01-05T00:40:14.634,1.665,-161.4,54.904,61000.0,0.271,0.247,0.012,3.873,2,20210105T000000_2
2021-01-05T01:07:08.993,1.478,-161.155,54.903,44.753,0.192,0.362,-0.004,7.0,3,20210105T000000_3
2021-01-05T01:54:41.991,1.033,-161.816,54.905,12018.296,0.547,0.29,0.035,6.945,4,20210105T000000_4
2021-01-05T03:43:36.323,2.085,-161.482,54.904,49723.855,0.4,0.275,0.005,10.0,5,20210105T000000_5
2021-01-05T03:43:50.011,2.042,-161.637,54.905,42723.968,0.433,0.225,-0.057,8.0,6,20210105T000000_6
2021-01-05T04:32:56.339,1.616,-162.737,54.902,43547.484,0.871,0.226,-0.095,9.0,7,20210105T000000_7
2021-01-05T04:57:28.144,1.654,-161.098,54.902,38832.363,0.203,0.415,-0.013,6.0,8,20210105T000000_8
2021-01-05T04:57:37.061,1.816,-161.246,54.903,53890.429,0.436,0.301,0.067,7.0,9,20210105T000000_9
2021-01-05T05:15:41.721,0.769,-161.486,55.028,2578.219,0.255,0.482,-0.009,5.0,10,20210105T000000_10
2021-01-05T05:30:48.372,0.73,-161.341,55.01,268.178,0.112,0.306,0.01,4.0,11,20210105T000000_11
2021-01-05T06:39:19.903,1.435,-161.243,54.903,35166.26,0.182,0.466,0.019,6.0,12,20210105T000000_12
2021-01-05T07:28:19.151,1.584,-162.773,54.902,61000.0,0.74,0.307,0.162,5.0,13,20210105T000000_13
2021-01-05T14:13:59.354,2.043,-162.537,54.903,61000.0,0.781,0.463,-0.356,15.0,1,20210105T080000_1
2021-01-05T15:50:12.362,1.195,-161.152,54.903,13725.079,0.055,0.393,-0.005,4.0,2,20210105T080000_2
2021-01-05T15:50:24.931,1.657,-161.283,54.903,25828.813,0.371,0.265,-0.017,4.0,3,20210105T080000_3
2021-01-05T19:35:59.749,2.512,-162.773,54.902,41839.58,1.101,0.43,-0.044,18.747,1,20210105T160000_1
2021-01-05T21:53:51.746,1.507,-161.444,54.904,0.0,0.61,0.396,-0.024,4.391,2,20210105T160000_2
2021-01-05T22:19:46.057,1.463,-161.002,55.172,27849.177,0.123,0.348,0.009,5.0,3,20210105T160000_3
2021-01-05T22:20:00.633,1.66,-160.998,55.369,16950.783,0.215,0.504,-0.021,4.551,4,20210105T160000_4
2021-01-05T23:35:33.645,2.536,-162.773,54.902,61000.0,0.638,0.283,-0.092,17.526,6,20210105T160000_6
2021-01-05T23:35:35.446,2.172,-161.178,54.903,0.0,0.289,0.16,0.001,6.474,5,20210105T160000_5
2021-01-06T03:06:34.754,1.862,-161.332,54.904,59444.456,0.253,0.331,-0.012,6.0,1,20210106T000000_1
2021-01-06T03:06:43.397,2.179,-161.289,54.907,61000.0,0.526,0.198,-0.048,5.0,2,20210106T000000_2
2021-01-06T05:55:18.995,1.375,-161.005,55.06,57722.299,0.298,0.211,0.035,4.0,3,20210106T000000_3
2021-01-06T07:44:10.773,0.469,-161.489,55.279,375.079,0.087,0.24,0.013,4.0,4,20210106T000000_4
2021-01-06T13:38:08.446,0.197,-161.866,55.203,0.0,0.323,0.188,0.014,3.995,1,20210106T080000_1
2021-01-06T14:44:01.395,1.7,-161.004,55.086,61000.0,0.331,0.473,0.033,6.0,2,20210106T080000_2
2021-01-07T02:42:53.444,1.304,-162.469,55.126,0.0,0.975,0.422,-0.164,4.0,1,20210107T000000_1
2021-01-07T02:55:09.678,2.01,-161.008,54.922,33964.559,0.217,0.295,-0.007,8.0,2,20210107T000000_2
2021-01-07T02:55:19.497,2.194,-161.09,54.902,40830.588,0.439,0.313,-0.04,6.0,3,20210107T000000_3
2021-01-07T02:56:48.797,2.625,-161.399,54.904,54659.424,0.338,0.202,0.026,9.844,4,20210107T000000_4
2021-01-07T02:57:09.309,2.757,-161.002,55.157,4518.572,0.693,0.292,0.012,6.0,5,20210107T000000_5
2021-01-07T06:23:16.153,2.391,-161.482,54.904,40020.073,0.366,0.146,0.023,11.0,6,20210107T000000_6
2021-01-07T06:23:29.634,2.934,-161.546,54.904,43910.836,0.671,0.203,-0.055,10.0,7,20210107T000000_7
2021-01-07T07:06:30.700,0.959,-161.813,55.038,35637.077,0.0,0.247,0.0,4.0,8,20210107T000000_8
2021-01-07T08:46:16.425,1.699,-161.519,54.904,37401.584,0.237,0.294,0.022,6.0,1,20210107T080000_1
